dataset,question_id,question_text,split,early_stop_correct_proportions,difficulty,gpt_assessment,model_predicted_difficulty
gsm8k,train_3750,"<｜User｜>Last month, a factory made 12000 dolls and their associated accessories.  The accessories for each doll included 2 shoes, 3 bags, 1 set of cosmetics, and 5 hats.  If each doll took 45 seconds to make and each accessory took 10 seconds to make, what was the total combined machine operation time, in seconds, required to manufacture all of the dolls and their accessories?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic (multiplication and addition) at an introductory level, making it an easy calculation exercise.""}",hard
gsm8k,train_3751,<｜User｜>A monkey swings from branch to branch at an average distance of 1.2 meters per second. How far will a monkey swing in meters if it consistently swings from branches for 30 minutes?<｜Assistant｜>,train,"[0.22, 0.59, 0.48, 0.63, 0.67, 0.74, 0.78, 0.88, 0.77, 0.85, 0.75, 0.88, 0.87, 0.87, 0.79, 0.76]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a simple unit conversion and one-step multiplication of speed by time, which is basic arithmetic suitable for an easy level.""}",medium
gsm8k,train_3752,<｜User｜>Lucca has 100 balls and 10 percent of his balls are basketballs. Lucien has 200 balls and 20 percent of them are basketballs. In total how many basketballs do Lucca and Lucien have?<｜Assistant｜>,train,"[0.0, 0.0, 0.0, 0.01, 0.04, 0.1, 0.51, 0.73, 0.78, 0.79, 0.81, 0.82, 0.87, 0.84, 0.8, 0.82]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""It involves straightforward percentage calculations and addition without any complex steps.""}",easy
gsm8k,train_3753,"<｜User｜>Out of 804 senior high school students, 75% passed their exams and so got their degree. The rest failed. How many didn't pass their exams?<｜Assistant｜>",train,"[0.0, 0.06, 0.01, 0.02, 0.07, 0.17, 0.33, 0.55, 0.57, 0.55, 0.56, 0.58, 0.64, 0.66, 0.69, 0.76]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward percentage calculation to find 25% of 804.""}",medium
gsm8k,train_3754,<｜User｜>A tiger shark has 180 teeth.  A hammerhead shark has 1/6 the number of teeth that a tiger shark has.  A great white shark has double the sum of teeth of a tiger shark and a hammerhead shark. How many teeth does a great white shark have?<｜Assistant｜>,train,"[0.0, 0.0, 0.0, 0.0, 0.05, 0.12, 0.41, 0.62, 0.67, 0.68, 0.67, 0.71, 0.74, 0.68, 0.7, 0.67]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves simple fractional calculation and basic arithmetic operations (addition and multiplication), suitable for early middle-school level.""}",medium
gsm8k,train_3755,"<｜User｜>A group of researchers are studying a colony of penguins. Their results show that the size doubled in the first year they watched the colony, then tripled in the next year. This year, however, harsh conditions meant the colony only gained 129 penguins. The colony has 1077 penguins in it now. Each penguin eats one and a half fish every day. How many fish did the whole colony catch per day to eat at the beginning of the first year?<｜Assistant｜>",train,"[0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0]",hard,"{""difficulty"": ""medium"", ""reasoning"": ""The problem involves a multi-step reverse calculation with doubling, tripling, and addition, plus fractional multiplication, which requires moderate algebraic reasoning but no advanced concepts.""}",hard
gsm8k,train_3756,"<｜User｜>Five less than three times the number of Doberman puppies plus the difference between the number of Doberman puppies and the number of Schnauzers is equal to 90. If the number of Doberman puppies is 20, how many Schnauzers are there?<｜Assistant｜>",train,"[0.01, 0.0, 0.01, 0.01, 0.02, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.04, 0.07]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves setting up and solving a simple one-variable linear equation with a given value, which is straightforward algebra at an introductory level.""}",medium
gsm8k,train_3757,"<｜User｜>In 5 years, Heath will be 3 times as old as Jude.  If Heath is 16 years old today, how old is Jude today?<｜Assistant｜>",train,"[0.02, 0.0, 0.0, 0.0, 0.07, 0.15, 0.25, 0.27, 0.44, 0.49, 0.48, 0.44, 0.47, 0.51, 0.46, 0.49]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This is a basic one-variable linear equation from an age word problem requiring simple arithmetic, suitable for beginner-level algebra.""}",medium
gsm8k,train_3758,"<｜User｜>A store is comparing their profits throughout the year. They had profits of $1,500 in the first quarter of the year, $3,000 in the third quarter, and $2,000 in the fourth quarter. If their annual profits are $8,000, how much profit, in dollars, did they make in the second quarter?<｜Assistant｜>",train,"[0.15, 0.1, 0.16, 0.21, 0.24, 0.29, 0.39, 0.37, 0.52, 0.4, 0.48, 0.46, 0.5, 0.45, 0.44, 0.46]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires only simple addition and subtraction of known values to find the missing quarter\u2019s profit.""}",medium
gsm8k,train_3759,"<｜User｜>A van is delivering  180 bottles of drinks to a neighborhood, and each bottle contains either cider or beer or a mixture of two. Out of the  180 bottles, 40 contain only cider, 80 contain only beer, and the rest are a mixture of the two drinks. If the delivery man gives half the number of each bottle of drink to the first house, how many bottles does the first house get?<｜Assistant｜>",train,"[0.88, 0.68, 0.73, 0.52, 0.48, 0.43, 0.46, 0.34, 0.22, 0.11, 0.08, 0.22, 0.32, 0.34, 0.43, 0.53]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem only involves simple arithmetic (subtraction, halving, and addition) with small numbers, making it straightforward to solve.""}",medium
gsm8k,train_3760,"<｜User｜>Clementine, Jake, and Tory make cookies for the school bake sale. Clementine baked 72 cookies. Jake baked twice as many cookies as Clementine. Tory baked half as many cookies as Jake and Clementine combined. They sell their cookies for $2 each. If they sell all their cookies, how much money do they make?<｜Assistant｜>",train,"[0.0, 0.03, 0.0, 0.0, 0.0, 0.02, 0.04, 0.04, 0.1, 0.37, 0.63, 0.7, 0.72, 0.74, 0.74, 0.76]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic operations (multiplication, addition, and a simple ratio), suitable for an easy difficulty level.""}",easy
gsm8k,train_3761,"<｜User｜>A dog is being treated for fleas. One flea treatment gets rid of half the fleas. After four treatments, the dog has 14 fleas left. How many more fleas did the dog have before the flea treatments than after?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.03, 0.06, 0.09, 0.09, 0.1, 0.11]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves simple repeated halving and basic subtraction, suitable for elementary-level algebra.""}",medium
gsm8k,train_3762,"<｜User｜>Between them, Mark and Sarah have 24 traffic tickets. Mark has twice as many parking tickets as Sarah, and they each have an equal number of speeding tickets. If Sarah has 6 speeding tickets, how many parking tickets does Mark have?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.04, 0.1, 0.2, 0.27, 0.31, 0.34, 0.34, 0.37, 0.36]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a basic two-variable linear system and simple arithmetic, suitable for introductory algebra.""}",medium
gsm8k,train_3763,<｜User｜>Cooper makes 7 apple pies a day. He does this for 12 days. Ashley then eats 50 of his pies. How many apple pies remain with Cooper?<｜Assistant｜>,train,"[0.01, 0.0, 0.05, 0.27, 0.41, 0.34, 0.46, 0.45, 0.47, 0.53, 0.65, 0.84, 0.83, 0.93, 0.9, 0.93]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves simple multiplication and subtraction, appropriate for elementary-level arithmetic.""}",easy
gsm8k,train_3764,"<｜User｜>Lindsey bought 2 exercise bands to intensify her workout.  Each band adds an extra 5 pounds of resistance to her workout.  If she doubles up both sets of bands and places them around her legs and picks up a 10-pound dumbbell, how much weight will she squat?<｜Assistant｜>",train,"[0.01, 0.13, 0.22, 0.34, 0.28, 0.46, 0.39, 0.51, 0.37, 0.27, 0.32, 0.31, 0.35, 0.41, 0.36, 0.36]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves simple arithmetic operations\u2014multiplying the number of bands by their resistance and adding the dumbbell weight\u2014making it an easy-level question.""}",medium
gsm8k,train_3765,<｜User｜>Wendy just started working at an Italian restaurant. She polished 50 small glasses and 10 more large glasses than small glasses. How many glasses did she polish?<｜Assistant｜>,train,"[0.0, 0.0, 0.22, 0.53, 0.78, 0.76, 0.82, 0.83, 0.83, 0.87, 0.86, 0.92, 0.91, 0.86, 0.93, 0.95]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This is a basic two-step arithmetic word problem involving simple addition, suitable for beginners.""}",easy
gsm8k,train_3766,<｜User｜>Miss Darlington has a basket of 20 blueberries. She picked 9 more baskets with the same amount of berries. How many blueberries did Miss Darlington have in all?<｜Assistant｜>,train,"[0.46, 0.69, 0.8, 0.83, 0.47, 0.48, 0.58, 0.63, 0.66, 0.65, 0.66, 0.64, 0.58, 0.6, 0.64, 0.61]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a simple multiplication of small integers (10 baskets \u00d7 20 berries) and basic addition, suitable for early arithmetic practice.""}",easy
gsm8k,train_3767,"<｜User｜>In a basketball game, Jon scored 3 points. Jack scored 5 points more than Jon, and Tom scored 4 less than the points of Jon and Jack together. How many points did they score altogether?<｜Assistant｜>",train,"[0.05, 0.01, 0.03, 0.05, 0.02, 0.07, 0.15, 0.29, 0.48, 0.59, 0.59, 0.61, 0.59, 0.56, 0.61, 0.64]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic (simple addition and subtraction) with small numbers, making it an easy-level question.""}",medium
gsm8k,train_3768,"<｜User｜>In a shipping container, there are 10 crates. Each crate is filled with 6 boxes and each box is filled with 4 washing machines. A worker removes 1 washing machine from each box. There are no other changes. How many washing machines were removed from the shipping container?<｜Assistant｜>",train,"[0.0, 0.0, 0.03, 0.02, 0.01, 0.01, 0.1, 0.17, 0.33, 0.39, 0.36, 0.28, 0.17, 0.19, 0.15, 0.2]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""The problem requires simple multiplication to count boxes and a single subtraction per box, making it an elementary arithmetic exercise.""}",medium
gsm8k,train_3769,"<｜User｜>Darnell has 1000 square feet of fabric that he's using to make mini flags. He makes square flags that are 4 feet by 4 feet, wide rectangular flags that are 5 feet by 3 feet, and tall rectangular flags that are 3 feet by 5 feet. He has already made 16 square flags, 20 wide flags, and 10 tall flags. How many square feet of fabric does he have left?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.11, 0.21, 0.3, 0.48]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires basic multiplication and subtraction of whole numbers, making it suitable for elementary-level math practice.""}",hard
gsm8k,train_3770,<｜User｜>Matthias has 40 soccer balls and 15 basketballs. 30 soccer balls and 7 basketballs have a hole in them. How many balls in total does Matthias have without holes in them?<｜Assistant｜>,train,"[0.0, 0.0, 0.0, 0.0, 0.1, 0.21, 0.42, 0.7, 0.74, 0.8, 0.81, 0.83, 0.88, 0.82, 0.79, 0.83]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic subtraction and addition with small numbers, making it straightforward for early learners.""}",medium
gsm8k,train_3771,<｜User｜>Jenny is scraping gum off the bottom of the seats in a stadium with two sections. Section A has 1 subsection with 60 seats and 3 subsections with 80 seats each. Section B has 20 more seats than 3 times as many seats as Section A has total. How many seats does Section B have?<｜Assistant｜>,train,"[0.01, 0.0, 0.0, 0.0, 0.01, 0.13, 0.21, 0.16, 0.23, 0.32, 0.34, 0.33, 0.33, 0.3, 0.37, 0.44]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic (summing and multiplying small integers) in two simple steps, making it an easy-level question.""}",medium
gsm8k,train_3772,"<｜User｜>The running time of Beast of War: Armoured Command is 10 minutes longer than that of Alpha Epsilon, which is 30 minutes shorter than that of Millennium. If Millennium runs for 2 hours, what is the running time of Beast of War: Armoured Command in minutes?<｜Assistant｜>",train,"[0.0, 0.01, 0.01, 0.04, 0.05, 0.02, 0.07, 0.11, 0.12, 0.16, 0.15, 0.11, 0.15, 0.18, 0.2, 0.22]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires only basic arithmetic operations with small numbers and simple two-step reasoning, making it straightforward for most students.""}",medium
gsm8k,train_3773,"<｜User｜>A packet of candy sweets has 30 cherry-flavored sweets, 40 strawberry-flavored sweets, and 50 pineapple-flavored sweets. Aaron eats half of each of the flavored sweets and gives 5 cherry-flavored sweets to his friend. How many sweets are still in the packet of candy?<｜Assistant｜>",train,"[0.06, 0.05, 0.02, 0.03, 0.01, 0.03, 0.03, 0.04, 0.04, 0.04, 0.07, 0.14, 0.19, 0.19, 0.25, 0.25]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem only requires simple arithmetic (halving quantities and basic addition/subtraction) in a couple of straightforward steps.""}",medium
gsm8k,train_3774,"<｜User｜>Oliver has two bags of vegetables. Each bag weighs 1/6 as much as James’s bag, which weighs 18kg. What is the combined weight of both Oliver’s bags?<｜Assistant｜>",train,"[0.1, 0.02, 0.07, 0.13, 0.36, 0.41, 0.47, 0.46, 0.37, 0.34, 0.35, 0.4, 0.5, 0.57, 0.61, 0.58]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward fraction multiplication and addition with small numbers, suitable for basic arithmetic practice.""}",medium
gsm8k,train_3775,<｜User｜>Greg's PPO algorithm obtained 90% of the possible reward on the CoinRun environment. CoinRun's maximum reward is half as much as the maximum ProcGen reward of 240. How much reward did Greg's PPO algorithm get?<｜Assistant｜>,train,"[0.75, 0.13, 0.02, 0.57, 0.76, 0.77, 0.84, 0.87, 0.82, 0.8, 0.84, 0.87, 0.87, 0.87, 0.86, 0.86]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward percentage calculation (90% of 120), making it an easy-level question.""}",medium
gsm8k,train_3776,"<｜User｜>Julia has a parrot and a rabbit. She buys food for both of the animals for $30 in total a week. Julia has the rabbit for 5 weeks, and the parrot for 3 weeks. How much money did Julia already spend on food for her animals, if the weekly cost of the rabbit food is $12?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.0, 0.02, 0.12, 0.24, 0.28, 0.37, 0.32, 0.32, 0.29, 0.33]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires simple subtraction to find the parrot\u2019s weekly cost and basic multiplication and addition to compute total spent, making it straightforward arithmetic.""}",medium
gsm8k,train_3777,"<｜User｜>Janet has 60 less than four times as many siblings as Masud. Carlos has 3/4 times as many siblings as Masud. If Masud has 60 siblings, how many more siblings does Janet have more than Carlos?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.09, 0.39, 0.55, 0.61, 0.69, 0.68, 0.73, 0.71, 0.73, 0.67]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""The problem requires basic arithmetic with simple expressions and substitution, which is straightforward for students familiar with linear operations.""}",medium
gsm8k,train_3778,"<｜User｜>A highway is being extended from its current length of 200 miles up to 650 miles. 50 miles are built on the first day, and three times this amount are built on the second day.  How many miles still need to be added to the highway to finish extending it?<｜Assistant｜>",train,"[0.01, 0.02, 0.0, 0.01, 0.06, 0.18, 0.18, 0.37, 0.51, 0.48, 0.5, 0.57, 0.6, 0.54, 0.52, 0.59]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves only basic arithmetic operations (addition, subtraction, multiplication) and straightforward reasoning, making it an easy-level question.""}",medium
gsm8k,train_3779,"<｜User｜>Susan is making jewelry with a repeating pattern that has 3 green beads, 5 purple beads, and twice as many red beads as green beads. If the pattern repeats three times per bracelet and 5 times per necklace, how many beads does she need to make 1 bracelets and 10 necklaces?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.03, 0.06, 0.21, 0.42, 0.5, 0.64, 0.69, 0.72]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic (simple multiplication and addition) with small numbers in a single-step word problem, making it suitable for an easy level.""}",medium
gsm8k,train_3780,<｜User｜>Janet counts 30 crows on the powerlines and 60% more hawks than crows. How many birds does she count total?<｜Assistant｜>,train,"[0.0, 0.0, 0.0, 0.01, 0.13, 0.25, 0.31, 0.34, 0.38, 0.3, 0.33, 0.28, 0.35, 0.35, 0.39, 0.44]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires a simple percentage increase calculation and addition, making it suitable for early learners.""}",medium
gsm8k,train_3781,"<｜User｜>Joan has 180 socks. Two thirds of the socks are white, and the rest of the socks are blue. How many blue socks does Joan have?<｜Assistant｜>",train,"[0.24, 0.67, 0.71, 0.72, 0.92, 0.89, 0.91, 0.92, 0.72, 0.86, 0.96, 0.93, 0.91, 0.88, 0.93, 0.99]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic fraction computation and subtraction, appropriate for early middle-school level math.""}",easy
gsm8k,train_3782,"<｜User｜>Simon collected treasures on the beach during his summer vacation. He collected a bucket of pearly seashells, a jar full of smooth sea glass, and a bag of ten sand dollars. If the jar holds three times as many pieces of glass as the bag does sand dollars, and the bucket holds five times as many seashells as the jar holds pieces of glass, how many treasures did Simon find on the beach?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.01, 0.06, 0.12, 0.24, 0.49, 0.66, 0.8, 0.84, 0.86, 0.84, 0.85, 0.84]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires simple multiplication and addition in two clear steps, making it straightforward arithmetic suitable for beginners.""}",medium
gsm8k,train_3783,"<｜User｜>Bryce is bringing in doughnuts for his class. There are 25 students in his class, 10 kids want chocolate doughnuts and 15 want glazed doughnuts. The chocolate doughnuts cost $2 each and the glazed doughnuts cost $1 each. How much is the total cost for doughnuts?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.03, 0.16, 0.62, 0.69, 0.79, 0.74, 0.79, 0.75, 0.75, 0.77, 0.77]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic multiplication and addition with small whole numbers, making it an easy arithmetic exercise.""}",easy
gsm8k,train_3784,<｜User｜>Sally needs to make a tablecloth that measures 102 inches by 54 inches. She also needs to make 8 napkins that are 6 by 7 inches. How many square inches of material will Sally need to make the tablecloth and the 8 napkins?<｜Assistant｜>,train,"[0.0, 0.02, 0.0, 0.0, 0.0, 0.01, 0.0, 0.03, 0.08, 0.12, 0.1, 0.13, 0.16, 0.14, 0.15, 0.17]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""The problem only requires basic multiplication and addition to find rectangle areas, which is elementary arithmetic.""}",medium
gsm8k,train_3785,"<｜User｜>Kat gets a 95% on her first math test and an 80% on her second math test. If she wants an average grade of at least 90% in her math class, what does she need to get on her third final math test?<｜Assistant｜>",train,"[0.81, 0.6, 0.58, 0.47, 0.57, 0.58, 0.54, 0.7, 0.73, 0.75, 0.75, 0.81, 0.78, 0.79, 0.82, 0.82]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward average calculation and simple algebra to solve for the required score, which is typical of an easy-level question.""}",medium
gsm8k,train_3786,<｜User｜>Patricia is growing her long very long to donate it to a charity that makes wigs for cancer survivors. Her hair is 14 inches long. She needs to donate 23 inches to make a wig. She wants her hair to be 12 inches long after the donation. How much longer does she have to grow her hair?<｜Assistant｜>,train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.03, 0.04, 0.04, 0.05, 0.04, 0.04, 0.04, 0.05, 0.05, 0.03]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a single linear equation with simple arithmetic steps, suitable for basic algebra or pre-algebra learners.""}",medium
gsm8k,train_3787,<｜User｜>Jason joined the military when he turned 18.  It took him 8 years to raise to the rank of chief.  Then 25% longer than that to go from chief to master chief.  He then spent 10 years more in the military before retiring.  How old was he when he retired?<｜Assistant｜>,train,"[0.06, 0.05, 0.12, 0.08, 0.14, 0.17, 0.13, 0.16, 0.19, 0.22, 0.28, 0.3, 0.38, 0.47, 0.44, 0.45]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward percentage and addition steps typical of basic arithmetic word problems, placing it at an easy level.""}",medium
gsm8k,train_3788,"<｜User｜>Mabel is counting sharks in the ocean. She knows that of the fish that she sees, 25% will be sharks and 75% will be another type of fish. On day one she counts 15 fish. On day 2 she counts three times as many. How many sharks did she count over those two days?<｜Assistant｜>",train,"[0.03, 0.1, 0.21, 0.23, 0.19, 0.36, 0.42, 0.52, 0.6, 0.61, 0.69, 0.66, 0.59, 0.63, 0.56, 0.61]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward percent and multiplication calculations with small numbers, making it a basic two-step exercise.""}",medium
gsm8k,train_3789,"<｜User｜>Doris works at the Widget Factory in the packing department. She puts 3 widgets in each carton, which are 4 inches wide, 4 inches long, and 5 inches tall. She then packs those cartons into a shipping box before sending it to the loading bay. The shipping boxes are 20 inches wide, 20 inches long, and 20 inches high. How many widgets get shipped in each shipping box?<｜Assistant｜>",train,"[0.0, 0.02, 0.09, 0.04, 0.03, 0.01, 0.01, 0.01, 0.01, 0.04, 0.06, 0.02, 0.03, 0.05, 0.03, 0.02]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires only basic multiplication and division with whole numbers and straightforward volume reasoning, making it accessible to early middle school students.""}",medium
gsm8k,train_3790,<｜User｜>James buys jars for his honey.  He has 5 hives that each produce 20 liters of honey.  Each jar can hold .5 liters.  How many jars will he need to buy if his friend is bringing his own jars for half the honey?<｜Assistant｜>,train,"[0.37, 0.53, 0.43, 0.36, 0.48, 0.71, 0.64, 0.65, 0.7, 0.7, 0.73, 0.86, 0.78, 0.83, 0.81, 0.88]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic (multiplying and dividing to find total volume and number of jars) suitable for a basic math level.""}",easy
gsm8k,train_3791,<｜User｜>Susan earned $600 from babysitting over the summer. She went shopping and spent half of it on clothes. Then she spent half of what was left on books. How much money did she have left?<｜Assistant｜>,train,"[0.38, 0.04, 0.08, 0.19, 0.35, 0.72, 0.94, 0.95, 0.95, 0.96, 0.97, 0.95, 0.87, 0.83, 0.75, 0.81]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves simple sequential halving and basic arithmetic, suitable for an elementary level.""}",easy
gsm8k,train_3792,"<｜User｜>A choir splits into 3 groups for their performances. The first group has 25 members, and the second group has 30 members. The third group has the remaining members of the choir. If the choir overall has 70 members, how many members are in the third group?<｜Assistant｜>",train,"[0.81, 0.27, 0.62, 0.8, 0.78, 0.66, 0.81, 0.85, 0.91, 0.91, 0.84, 0.85, 0.81, 0.91, 0.88, 0.83]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves simple subtraction of known quantities to find the remainder, which requires only basic arithmetic skills.""}",easy
gsm8k,train_3793,"<｜User｜>Max is planning a vacation for 8 people. The Airbnb rental costs $3200. They also plan on renting a car that will cost $800. If they plan on splitting the costs equally, how much will each person’s share be?<｜Assistant｜>",train,"[0.14, 0.16, 0.08, 0.11, 0.46, 0.84, 0.89, 0.88, 0.91, 0.92, 0.96, 0.97, 0.9, 0.94, 0.96, 0.96]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem only requires simple addition and division to split total costs equally, making it basic arithmetic.""}",easy
gsm8k,train_3794,<｜User｜>Kendra made 4 more than five times as many decorated buttons as Mari. Sue made half as many as Kendra. Mari made 8 buttons. How many did Sue make?<｜Assistant｜>,train,"[0.03, 0.08, 0.0, 0.12, 0.42, 0.42, 0.5, 0.51, 0.47, 0.51, 0.53, 0.47, 0.44, 0.52, 0.56, 0.59]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves simple two-step arithmetic (multiply, add, then divide) with small integers, making it an easy-level question.""}",medium
gsm8k,train_3795,"<｜User｜>If Natasha was going 10 mph over the speed limit and it took her an hour to arrive at her destination that was 60 miles away, what was the speed limit?<｜Assistant｜>",train,"[0.62, 0.71, 0.73, 0.87, 0.8, 0.8, 0.82, 0.72, 0.82, 0.78, 0.87, 0.83, 0.72, 0.74, 0.85, 0.8]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a simple one-step linear equation to find the speed limit from distance, time, and an added 10 mph, making it basic arithmetic.""}",medium
gsm8k,train_3796,<｜User｜>Donny has $78 in his piggy bank. If Donny buys a kite for $8 and a frisbee for $9. How much money does Donny have left?<｜Assistant｜>,train,"[0.84, 0.35, 0.32, 0.34, 0.7, 0.78, 0.96, 0.93, 0.92, 0.94, 0.9, 0.95, 0.92, 0.92, 0.93, 0.86]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic subtraction of small integers and requires minimal steps, suitable for early arithmetic practice.""}",easy
gsm8k,train_3797,<｜User｜>Ivan had $10 and spent 1/5 of it on cupcakes. He then spent some money on a milkshake and had only $3 left. How much is the milkshake?<｜Assistant｜>,train,"[0.11, 0.08, 0.29, 0.7, 0.8, 0.91, 0.93, 0.9, 0.94, 0.96, 0.95, 0.95, 0.95, 0.92, 0.89, 0.89]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic fraction calculation and simple subtraction, suitable for early arithmetic practice.""}",easy
gsm8k,train_3798,<｜User｜>John joins a country club with 3 other members of his family.  The fee to join is $4000 per person.  There is also a monthly cost of $1000 per person.  John pays half the cost.  How much does John pay for the first year?<｜Assistant｜>,train,"[0.0, 0.02, 0.0, 0.01, 0.01, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.02, 0.1, 0.1, 0.14, 0.19]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic multiplication and division in a simple money word problem, suitable for early algebra or arithmetic practice.""}",medium
gsm8k,train_3799,"<｜User｜>In four years, Suzy will be twice Mary's age then. If Suzy is 20 now, how old is Mary?<｜Assistant｜>",train,"[0.08, 0.31, 0.48, 0.33, 0.27, 0.38, 0.41, 0.45, 0.41, 0.36, 0.29, 0.27, 0.29, 0.26, 0.28, 0.29]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a simple linear equation and basic arithmetic to solve an age-related puzzle, suitable for elementary algebra.""}",medium
